JULIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,_sheet,_row_number,_imported_at
ROOM-SERVICE,,3969.28,1924.53,1911.09,2010.74,1480.4,Ejercicio    2024,386133.59,,2025-JULIO.SEPTIEMBRE,155,2026-01-12T10:12:30.821139
DESAYUNO,,38561.48,48279.1,64007.83,47616.19,48303.35,Ejercicio    2025,443673.96,,2025-JULIO.SEPTIEMBRE,156,2026-01-12T10:12:30.821139
MINIBAR,,1765,2163.64,2127.27,1721.66,1716.83,,,,2025-JULIO.SEPTIEMBRE,157,2026-01-12T10:12:30.821139
BAR,,5768.32,1924.64,1916.34,1730.07,8519.11,,Diferencia (2019-2025):,132346.27000000002,2025-JULIO.SEPTIEMBRE,158,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2020-2025):,390006.94,2025-JULIO.SEPTIEMBRE,159,2026-01-12T10:12:30.821139
,TOTAL,75640.01000000001,83578.84,106925.84999999999,83842.46000000002,89926.90000000001,,Diferencia (2021-2025):,218938.62000000002,2025-JULIO.SEPTIEMBRE,160,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2022-2025):,122374.70000000001,2025-JULIO.SEPTIEMBRE,161,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,14286.89,,,,,Diferencia (2023-2025):,73627.54000000004,2025-JULIO.SEPTIEMBRE,162,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,6348.060000000012,,,,,Diferencia (2024-2025):,57540.369999999995,2025-JULIO.SEPTIEMBRE,163,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-16998.949999999983,,,,,,,2025-JULIO.SEPTIEMBRE,164,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,6084.439999999988,,,,,,,2025-JULIO.SEPTIEMBRE,165,2026-01-12T10:12:30.821139
